no,name,attributes,type_name,form_name,hp,atk,matk,def,mdef,spd,trait_name,trait_desc,bloodline_skill_names,own_skill_names,skill_stone_names,strong_against,weak_against,resist,resisted,detail_url,image
NO.011,鸭吉吉（蓬松的样子）,普通,最终形态,原始形态,136,95,35,55,45,105,挺起胸脯,携带的能耗为1的技能，威力+50%。,星星撞击|贪婪|升龙咆哮|麻痹|化劲|引燃|勾魂|徒长|霜降|假寐|透射|啮合传递|甜心续航|超维投射|泥浆铠甲|毒孢子|蓄水|羽化加速,猛烈撞击|力量增效|扫尾|防御|休息回复|旋转突击|咆哮|吓退|见招拆招|伺机而动|热身运动|吨位压制|快速移动|徒长|引燃|蓄水|透射|泥浆铠甲|霜降|升龙咆哮|麻痹|毒孢子|假寐|化劲|羽化加速|甜心续航|勾魂|贪婪|啮合传递|超维投射|主场优势|精神扰乱|防反|复写|三连破|摇篮曲|反击拳|破绽|缠丝劲|提气|乘风|风矢|飞羽,三连破|主场优势|乘风|冲撞|反击拳|复写|提气|摇篮曲|破绽|精神扰乱|缠丝劲|防反|风矢|飞羽,,武,幽,幽|机械|地,https://wiki.biligame.com/rocom/鸭吉吉（蓬松的样子）,https://lokewangguoshijie.com/pokemon/NO.011_鸭吉吉（蓬松的样子）.webp
NO.011,鸭吉吉（紧实的样子）,普通,最终形态,原始形态,136,35,95,45,55,105,挺起胸脯,携带的能耗为1的技能，威力+50%。,星星撞击|贪婪|升龙咆哮|麻痹|化劲|引燃|勾魂|徒长|霜降|假寐|虹光冲击|啮合传递|甜心续航|超维投射|泥浆铠甲|毒孢子|蓄水|羽化加速,魔法增效|音波弹|拍击|防御|休息回复|许愿星|咆哮|吓退|蓄能轰击|伺机而动|鼓劲|魔能爆|快速移动|徒长|引燃|蓄水|虹光冲击|泥浆铠甲|霜降|升龙咆哮|麻痹|毒孢子|假寐|化劲|羽化加速|甜心续航|勾魂|贪婪|啮合传递|超维投射|精神扰乱|借用|加固|嗜痛|摇篮曲|反击拳|破绽|气波|提气|翼击|乘风|回旋风暴|飞羽,主场优势|乘风|借用|加固|反击拳|嗜痛|回旋风暴|提气|摇篮曲|气波|破绽|精神扰乱|翼击|飞羽,,武,幽,幽|机械|地,https://wiki.biligame.com/rocom/鸭吉吉（紧实的样子）,https://lokewangguoshijie.com/pokemon/NO.011_鸭吉吉（紧实的样子）.webp
NO.011,鸭吉吉（急急急鸭）,普通,最终形态,原始形态,130,95,35,55,45,110,挺起胸脯,携带的能耗为1的技能，威力+50%。,星星撞击|贪婪|升龙咆哮|麻痹|化劲|引燃|勾魂|徒长|霜降|假寐|透射|啮合传递|甜心续航|超维投射|泥浆铠甲|毒孢子|蓄水|羽化加速,猛烈撞击|力量增效|扫尾|防御|休息回复|旋转突击|咆哮|吓退|见招拆招|伺机而动|热身运动|吨位压制|快速移动|徒长|引燃|蓄水|透射|泥浆铠甲|霜降|升龙咆哮|麻痹|毒孢子|假寐|化劲|羽化加速|甜心续航|勾魂|贪婪|啮合传递|超维投射|主场优势|精神扰乱|防反|复写|三连破|摇篮曲|反击拳|破绽|缠丝劲|提气|乘风|风矢|飞羽,三连破|主场优势|乘风|冲撞|反击拳|复写|提气|摇篮曲|破绽|精神扰乱|缠丝劲|防反|风矢|飞羽,,武,幽,幽|机械|地,https://wiki.biligame.com/rocom/鸭吉吉（急急急鸭）,https://lokewangguoshijie.com/pokemon/NO.011_鸭吉吉（急急急鸭）.webp
NO.011,鸭吉吉（等一等鸭）,普通,最终形态,原始形态,137,35,94,46,57,100,挺起胸脯,携带的能耗为1的技能，威力+50%。,星星撞击|贪婪|升龙咆哮|麻痹|化劲|引燃|勾魂|徒长|霜降|假寐|虹光冲击|啮合传递|甜心续航|超维投射|泥浆铠甲|毒孢子|蓄水|羽化加速,魔法增效|音波弹|拍击|防御|休息回复|许愿星|咆哮|吓退|蓄能轰击|伺机而动|鼓劲|魔能爆|快速移动|徒长|引燃|蓄水|虹光冲击|泥浆铠甲|霜降|升龙咆哮|麻痹|毒孢子|假寐|化劲|羽化加速|甜心续航|勾魂|贪婪|啮合传递|超维投射|精神扰乱|借用|加固|嗜痛|摇篮曲|反击拳|破绽|气波|提气|翼击|乘风|回旋风暴|飞羽,主场优势|乘风|借用|加固|反击拳|嗜痛|回旋风暴|提气|摇篮曲|气波|破绽|精神扰乱|翼击|飞羽,,武,幽,幽|机械|地,https://wiki.biligame.com/rocom/鸭吉吉（等一等鸭）,https://lokewangguoshijie.com/pokemon/NO.011_鸭吉吉（等一等鸭）.webp
NO.011,鸭吉吉（起来鸭）,普通,最终形态,原始形态,107,53,125,80,113,100,挺起胸脯,携带的能耗为1的技能，威力+50%。,,魔法增效|音波弹|拍击|防御|休息回复|许愿星|咆哮|吓退|蓄能轰击|伺机而动|鼓劲|魔能爆|快速移动,,,武,幽,幽|机械|地,https://wiki.biligame.com/rocom/鸭吉吉（起来鸭）,https://lokewangguoshijie.com/pokemon/NO.011_鸭吉吉（起来鸭）.webp
NO.011,鸭吉吉（燃了鸭）,普通,最终形态,原始形态,108,89,41,74,48,115,挺起胸脯,携带的能耗为1的技能，威力+50%。,星星撞击|贪婪|升龙咆哮|麻痹|化劲|引燃|勾魂|徒长|霜降|假寐|透射|啮合传递|甜心续航|超维投射|泥浆铠甲|毒孢子|蓄水|羽化加速,,三连破|主场优势|乘风|冲撞|反击拳|复写|提气|摇篮曲|破绽|精神扰乱|缠丝劲|防反|风矢|飞羽,,武,幽,幽|机械|地,https://wiki.biligame.com/rocom/鸭吉吉（燃了鸭）,https://lokewangguoshijie.com/pokemon/NO.011_鸭吉吉（燃了鸭）.webp
NO.012,板板壳（本来的样子）,水,Ⅰ阶,原始形态,67,28,72,64,81,45,缩壳,携带的防御技能能耗-2。,星星撞击|等价交换|升龙咆哮|集中|贯手|火焰护盾|虚化|蜡质膜|雪替身|掩护|虹光冲击|离子震荡|魅惑|冥想|淤泥表皮|毒沼|水弹枪|风墙,防御|肥皂泡|魔法增效|气泡|洗礼|后发制人|水泡盾|水光冲击|落雨|水炮|泡沫幻影|天洪|水环|蜡质膜|火焰护盾|水弹枪|虹光冲击|淤泥表皮|雪替身|升龙咆哮|集中|毒沼|掩护|贯手|风墙|魅惑|虚化|等价交换|离子震荡|冥想|魔能爆|防反|无畏之心|复写|有效预防|酶浓度调整|棘突|化劲|硬门|气波|叠势|防御反击,化劲|叠势|复写|无畏之心|有效预防|棘突|气波|硬门|突袭|酶浓度调整|防反|防御反击|魔能爆,火|机械,草|电,火|机械,草|冰|龙,https://wiki.biligame.com/rocom/板板壳（本来的样子）,https://lokewangguoshijie.com/pokemon/NO.012_板板壳（本来的样子）.webp
NO.013,咔咔壳（本来的样子）,水,Ⅱ阶,原始形态,90,37,96,85,107,60,缩壳,携带的防御技能能耗-2。,星星撞击|等价交换|升龙咆哮|集中|贯手|火焰护盾|虚化|蜡质膜|雪替身|掩护|虹光冲击|离子震荡|魅惑|冥想|淤泥表皮|毒沼|水弹枪|风墙,防御|肥皂泡|魔法增效|气泡|洗礼|后发制人|水泡盾|水光冲击|落雨|水炮|泡沫幻影|天洪|水环|蜡质膜|火焰护盾|水弹枪|虹光冲击|淤泥表皮|雪替身|升龙咆哮|集中|毒沼|掩护|贯手|风墙|魅惑|虚化|等价交换|离子震荡|冥想|魔能爆|防反|无畏之心|复写|有效预防|酶浓度调整|棘突|化劲|硬门|气波|叠势|防御反击,化劲|叠势|复写|无畏之心|有效预防|棘突|气波|硬门|突袭|酶浓度调整|防反|防御反击|魔能爆,火|地|机械,草|电,火|机械,草|冰|龙,https://wiki.biligame.com/rocom/咔咔壳（本来的样子）,https://lokewangguoshijie.com/pokemon/NO.013_咔咔壳（本来的样子）.webp
NO.014,水泡壳（本来的样子）,水,最终形态,原始形态,112,46,120,107,134,75,缩壳,携带的防御技能能耗-2。,星星撞击|等价交换|升龙咆哮|集中|贯手|火焰护盾|虚化|蜡质膜|雪替身|掩护|虹光冲击|离子震荡|魅惑|冥想|淤泥表皮|毒沼|水弹枪|风墙,防御|肥皂泡|魔法增效|气泡|洗礼|后发制人|水泡盾|水光冲击|落雨|水炮|泡沫幻影|天洪|水环|蜡质膜|火焰护盾|水弹枪|虹光冲击|淤泥表皮|雪替身|升龙咆哮|集中|毒沼|掩护|贯手|风墙|魅惑|虚化|等价交换|离子震荡|冥想|魔能爆|防反|无畏之心|复写|有效预防|酶浓度调整|棘突|化劲|硬门|气波|叠势|防御反击,化劲|叠势|复写|无畏之心|有效预防|棘突|气波|硬门|突袭|酶浓度调整|防反|防御反击|魔能爆,火|地|机械,草|电,火|机械,草|冰|龙,https://wiki.biligame.com/rocom/水泡壳（本来的样子）,https://lokewangguoshijie.com/pokemon/NO.014_水泡壳（本来的样子）.webp
NO.015,锥尾羊,幽,Ⅰ阶,原始形态,67,66,29,72,49,66,碰瓷,自己使用恶系技能后，敌方失去2能量。,休息回复|诋毁|升龙咆哮|麻痹|化劲|火焰箭|灵媒|徒长|霜降|假寐|透射|啮合传递|甜心续航|超���投射|泥浆铠甲|毒孢子|蓄水|羽化加速,力量增效|恶能量|幻象|勾魂|虚假破产|降灵|撕咬|力量吞噬|见招拆招|恶作剧|极限撕裂|恶意逃离|坟场搏击|徒长|火焰箭|蓄水|透射|泥浆铠甲|霜降|升龙咆哮|麻痹|毒孢子|假寐|化劲|羽化加速|甜心续航|灵媒|诋毁|离子震荡|超维投射|应激反应|防御|复写|晒太阳|芳香诱引|移花接木|富养化|报复|欺诈契约|隐藏条款|暗箱操作|伪造账单,伪造账单|复写|富养化|应激反应|报复|晒太阳|暗箱操作|欺诈契约|移花接木|聒噪|芳香诱引|防御|隐藏条款,光|幽|幻,光|幽|恶,普通|毒|虫|武,普通|恶,https://wiki.biligame.com/rocom/锥尾羊,https://lokewangguoshijie.com/pokemon/NO.015_锥尾羊.webp
NO.016,铃兰羊,幽,Ⅱ阶,原始形态,89,89,39,96,65,88,碰瓷,自己使用恶系技能后，敌方失去2能量。,休息回复|诋毁|升龙咆哮|麻痹|化劲|火焰箭|灵媒|徒长|霜降|假寐|透射|啮合传递|甜心续航|超维投射|泥浆铠甲|毒孢子|蓄水|羽化加速,力量增效|恶能量|幻象|勾魂|虚假破产|降灵|撕咬|力量吞噬|见招拆招|恶作剧|极限撕裂|恶意逃离|坟场搏击|徒长|火焰箭|蓄水|透射|泥浆铠甲|霜降|升龙咆哮|麻痹|毒孢子|假寐|化劲|羽化加速|甜心续航|灵媒|诋毁|离子震荡|超维投射|应激反应|防御|复写|晒太阳|芳香诱引|移花接木|富养化|报复|欺诈契约|隐藏条款|暗箱操作|伪造账单,伪造账单|复写|富养化|应激反应|报复|晒太阳|暗箱操作|欺诈契约|移花接木|聒噪|芳香诱引|防御|隐藏条款,光|幽|幻,光|幽|恶,普通|毒|虫|武,普通|恶,https://wiki.biligame.com/rocom/铃兰羊,https://lokewangguoshijie.com/pokemon/NO.016_铃兰羊.webp
NO.017,花影羚羊,幽|恶,最终形态,原始形态,112,111,48,120,81,110,碰瓷,自己使用恶系技能后，敌方失去2能量。,休息回复|诋毁|升龙咆哮|麻痹|化劲|火焰箭|灵媒|徒长|霜降|假寐|透射|啮合传递|甜心续航|超维投射|泥浆铠甲|毒孢子|蓄水|羽化加速,力量增效|恶能量|幻象|勾魂|虚假破产|降灵|撕咬|力量吞噬|见招拆招|恶作剧|极限撕裂|恶意逃离|坟场搏击|徒长|火焰箭|蓄水|透射|泥浆铠甲|霜降|升龙咆哮|麻痹|毒孢子|假寐|化劲|羽化加速|甜心续航|灵媒|诋毁|离子震荡|超维投射|应激反应|防御|复写|晒太阳|芳香诱引|移花接木|富养化|报复|欺诈契约|隐藏条款|暗箱操作|伪造账单,伪造账单|复写|富养化|应激反应|报复|晒太阳|暗箱操作|欺诈契约|移花接木|聒噪|芳香诱引|防御|隐藏条款,,光|恶|萌,普通|毒|龙,,https://wiki.biligame.com/rocom/花影羚羊,https://lokewangguoshijie.com/pokemon/NO.017_花影羚羊.webp
NO.018,雪绒鸟（本来的样子）,翼,Ⅰ阶,原始形态,54,77,33,65,44,69,顺风,若先于敌方攻击，本次技能威力+50%。,星星撞击|恶能量|升龙咆哮|球状闪电|缠丝劲|火焰冲锋|灵媒|花香|冷风|噬心|透射|械斗|碰爪|星云漩涡|跺地|毒沼|泡沫|风矢,力量增效|啄击|先发制人|乘风|防御|扇风|羽化加速|闪击|风起|俯冲猛击|快速移动|羽刃|龙卷风|花香|火焰冲锋|泡沫|透射|跺地|冷风|升龙咆哮|球状闪电|毒沼|噬心|缠丝劲|风矢|碰爪|灵媒|恶能量|械斗|星云漩涡|伺机而动|借用|以重制重|热身运动|有效预防|水刃|蓄水|潮涌|水幕冲击|冰雹|冰爪|速冻|疾风刺|撕咬,以重制重|伺机而动|借用|偷袭|冰爪|冰雹|撕咬|有效预防|水刃|水幕冲击|潮涌|热身运动|疾风刺|蓄水|速冻,草|虫|武,冰|电,草|虫|武,龙|电|机械|地,https://wiki.biligame.com/rocom/雪绒鸟（本来的样子）,https://lokewangguoshijie.com/pokemon/NO.018_雪绒鸟（本来的样子）.webp
NO.019,冬羽雀（本来的样子）,翼,Ⅱ阶,原始形态,72,103,44,86,59,92,顺风,若先于敌方攻击，本次技能威力+50%。,星星撞击|恶能量|升龙咆哮|球状闪电|缠丝劲|火焰冲锋|灵媒|花香|冷风|噬心|透射|械斗|碰爪|星云漩涡|跺地|毒沼|泡沫|风矢,力量增效|啄击|先发制人|乘风|防御|扇风|羽化加速|闪击|风起|俯冲猛击|快速移动|羽刃|龙卷风|花香|火焰冲锋|泡沫|透射|跺地|冷风|升龙咆哮|球状闪电|毒沼|噬心|缠丝劲|风矢|碰爪|灵媒|恶能量|械斗|星云漩涡|伺机而动|借用|以重制重|热身运动|有效预防|水刃|蓄水|潮涌|水幕冲击|冰雹|冰爪|速冻|疾风刺|撕咬|水幕���击,以重制重|伺机而动|借用|偷袭|冰爪|冰雹|撕咬|有效预防|水刃|水幕冲击|潮涌|热身运动|疾风刺|蓄水|速冻,草|虫|武,冰|电,草|虫|武,龙|电|机械|地,https://wiki.biligame.com/rocom/冬羽雀（本来的样子）,https://lokewangguoshijie.com/pokemon/NO.019_冬羽雀（本来的样子）.webp
NO.020,岚鸟（本来的样子）,翼,最终形态,原始形态,90,128,55,108,74,115,顺风,若先于敌方攻击，本次技能威力+50%。,星星撞击|恶能量|升龙咆哮|球状闪电|缠丝劲|火焰冲锋|灵媒|花香|冷风|噬心|透射|械斗|碰爪|星云漩涡|跺地|毒沼|泡沫|风矢,力量增效|啄击|先发制人|乘风|防御|扇风|羽化加速|闪击|风起|俯冲猛击|快速移动|羽刃|龙卷风|花香|火焰冲锋|泡沫|透射|跺地|冷风|升龙咆哮|球状闪电|毒沼|噬心|缠丝劲|风矢|碰爪|灵媒|恶能量|械斗|星云漩涡|伺机而动|借用|以重制重|热身运动|有效预防|水刃|蓄水|潮涌|水幕冲击|冰雹|冰爪|速冻|疾风刺|撕咬,以重制重|伺机而动|借用|偷袭|冰爪|冰雹|撕咬|有效预防|水刃|水幕冲击|潮涌|热身运动|疾风刺|蓄水|速冻,草|虫|武,冰|电,草|虫|武,龙|电|机械|地,https://wiki.biligame.com/rocom/岚鸟（本来的样子）,https://lokewangguoshijie.com/pokemon/NO.020_岚鸟（本来的样子）.webp
NO.021,小灵菇,幽,Ⅰ阶,原始形态,67,59,59,62,82,45,毒蘑菇,回合结束时，偷取敌方场上所有精灵1能量。,防反|等价交换|升龙咆哮|集中|反击拳|火焰护盾|灵媒|荆棘爪|雪替身|掩护|虹光冲击|离子震荡|魅惑|冥想|跺地|溃烂触碰|水泡盾|风墙,防御|鬼火|氧输送|种子弹|汲取|嘲弄|抓挠|降灵|报复|幻象|酶浓度调整|藤绞|灵光|叶绿光束|惊吓盒子|抽枝|荆棘爪|火焰护盾|水泡盾|虹光冲击|跺地|雪替身|升龙咆哮|集中|溃烂触碰|掩护|反击拳|风墙|魅惑|灵媒|等价交换|离子震荡|冥想|血气|无畏之心|取念|能量炮|加固|鼓劲|热身运动|吓退|孢子爆散|纤维化|腐蚀酸液|连续毒针|不可接触|坟场搏击|虚化,不可接触|加固|取念|吓退|坟场搏击|孢子爆散|无畏之心|热身运动|穿膛|纤维化|能量炮|腐蚀酸液|虚化|血气|连续毒针|鼓劲,光|幽|幻,光|幽|恶,普通|毒|虫|武,普通|恶,https://wiki.biligame.com/rocom/小灵菇,https://lokewangguoshijie.com/pokemon/NO.021_小灵菇.webp
