no,name,relation,target_attribute
NO.009,波波拉,strong_against,地
NO.009,波波拉,strong_against,机械
NO.009,波波拉,weak_against,草
NO.009,波波拉,weak_against,电
NO.009,波波拉,resist,火
NO.009,波波拉,resist,机械
NO.009,波波拉,resisted,草
NO.009,波波拉,resisted,冰
NO.009,波波拉,resisted,龙
NO.010,水灵,strong_against,火
NO.010,水灵,strong_against,地
NO.010,水灵,strong_against,机械
NO.010,水灵,weak_against,草
NO.010,水灵,weak_against,电
NO.010,水灵,resist,火
NO.010,水灵,resist,机械
NO.010,水灵,resisted,草
NO.010,水灵,resisted,冰
NO.010,水灵,resisted,龙
NO.011,鸭吉吉（蓬松的样子）,weak_against,武
NO.011,鸭吉吉（蓬松的样子）,resist,幽
NO.011,鸭吉吉（蓬松的样子）,resisted,幽
NO.011,鸭吉吉（蓬松的样子）,resisted,机械
NO.011,鸭吉吉（蓬松的样子）,resisted,地
NO.011,鸭吉吉（紧实的样子）,weak_against,武
NO.011,鸭吉吉（紧实的样子）,resist,幽
NO.011,鸭吉吉（紧实的样子）,resisted,幽
NO.011,鸭吉吉（紧实的样子）,resisted,机械
NO.011,鸭吉吉（紧实的样子）,resisted,地
NO.011,鸭吉吉（急急急鸭）,weak_against,武
NO.011,鸭吉吉（急急急鸭）,resist,幽
NO.011,鸭吉吉（急急急鸭）,resisted,幽
NO.011,鸭吉吉（急急急鸭）,resisted,机械
NO.011,鸭吉吉（急急急鸭）,resisted,地
NO.011,鸭吉吉（等一等鸭）,weak_against,武
NO.011,鸭吉吉（等一等鸭）,resist,幽
NO.011,鸭吉吉（等一等鸭）,resisted,幽
NO.011,鸭吉吉（等一等鸭）,resisted,机械
NO.011,鸭吉吉（等一等鸭）,resisted,地
NO.011,鸭吉吉（起来鸭）,weak_against,武
NO.011,鸭吉吉（起来鸭）,resist,幽
NO.011,鸭吉吉（起来鸭）,resisted,幽
NO.011,鸭吉吉（起来鸭）,resisted,机械
NO.011,鸭吉吉（起来鸭）,resisted,地
NO.011,鸭吉吉（燃了鸭）,weak_against,武
NO.011,鸭吉吉（燃了鸭）,resist,幽
NO.011,鸭吉吉（燃了鸭）,resisted,幽
NO.011,鸭吉吉（燃了鸭）,resisted,机械
NO.011,鸭吉吉（燃了鸭）,resisted,地
NO.012,板板壳（本来的样子）,strong_against,火
NO.012,板板壳（本来的样子）,strong_against,机械
NO.012,板板壳（本来的样子）,weak_against,草
NO.012,板板壳（本来的样子）,weak_against,电
NO.012,板板壳（本来的样子）,resist,火
NO.012,板板壳（本来的样子）,resist,机械
NO.012,板板壳（本来的样子）,resisted,草
NO.012,板板壳（本来的样子）,resisted,冰
NO.012,板板壳（本来的样子）,resisted,龙
NO.013,咔咔壳（本来的样子）,strong_against,火
NO.013,咔咔壳（本来的样子）,strong_against,地
NO.013,咔咔壳（本来的样子）,strong_against,机械
NO.013,咔咔壳（本来的样子）,weak_against,草
NO.013,咔咔壳（本来的样子）,weak_against,电
NO.013,咔咔壳（本来的样子）,resist,火
NO.013,咔咔壳（本来的样子）,resist,机械
NO.013,咔咔壳（本来的样子）,resisted,草
NO.013,咔咔壳（本来的样子）,resisted,冰
NO.013,咔咔壳（本来的样子）,resisted,龙
NO.014,水泡壳（本来的样子）,strong_against,火
NO.014,水泡壳（本来的样子）,strong_against,地
NO.014,水泡壳（本来的样子）,strong_against,机械
NO.014,水泡壳（本来的样子）,weak_against,草
NO.014,水泡壳（本来的样子）,weak_against,电
NO.014,水泡壳（本来的样子）,resist,火
NO.014,水泡壳（本来的样子）,resist,机械
NO.014,水泡壳（本来的样子）,resisted,草
NO.014,水泡壳（本来的样子）,resisted,冰
NO.014,水泡壳（本来的样子）,resisted,龙
NO.015,锥尾羊,strong_against,光
NO.015,锥尾羊,strong_against,幽
NO.015,锥尾羊,strong_against,幻
NO.015,锥尾羊,weak_against,光
NO.015,锥尾羊,weak_against,幽
NO.015,锥尾羊,weak_against,恶
NO.015,锥尾羊,resist,普通
NO.015,锥尾羊,resist,毒
NO.015,锥尾羊,resist,虫
NO.015,锥尾羊,resist,武
NO.015,锥尾羊,resisted,普通
NO.015,锥尾羊,resisted,恶
NO.016,铃兰羊,strong_against,光
NO.016,铃兰羊,strong_against,幽
NO.016,铃兰羊,strong_against,幻
NO.016,铃兰羊,weak_against,光
NO.016,铃兰羊,weak_against,幽
NO.016,铃兰羊,weak_against,恶
NO.016,铃兰羊,resist,普通
NO.016,铃兰羊,resist,毒
NO.016,铃兰羊,resist,虫
NO.016,铃兰羊,resist,武
NO.016,铃兰羊,resisted,普通
NO.016,铃兰羊,resisted,恶
NO.017,花影羚羊,weak_against,光
NO.017,花影羚羊,weak_against,恶
NO.017,花影羚羊,weak_against,萌
NO.017,花影羚羊,resist,普通
NO.017,花影羚羊,resist,毒
NO.017,花影羚羊,resist,龙
NO.018,雪绒鸟（本来的样子）,strong_against,草
NO.018,雪绒鸟（本来的样子）,strong_against,虫
NO.018,雪绒鸟（本来的样子）,strong_against,武
NO.018,雪绒鸟（本来的样子）,weak_against,冰
NO.018,雪绒鸟（本来的样子）,weak_against,电
NO.018,雪绒鸟（本来的样子）,resist,草
NO.018,雪绒鸟（本来的样子）,resist,虫
NO.018,雪绒鸟（本来的样子）,resist,武
NO.018,雪绒鸟（本来的样子）,resisted,龙
NO.018,雪绒鸟（本来的样子）,resisted,电
NO.018,雪绒鸟（本来的样子）,resisted,机械
NO.018,雪绒鸟（本来的样子）,resisted,地
NO.019,冬羽雀（本来的样子）,strong_against,草
NO.019,冬羽雀（本来的样子）,strong_against,虫
NO.019,冬羽雀（本来的样子）,strong_against,武
NO.019,冬羽雀（本来的样子）,weak_against,冰
NO.019,冬羽雀（本来的样子）,weak_against,电
NO.019,冬羽雀（本来的样子）,resist,草
NO.019,冬羽雀（本来的样子）,resist,虫
NO.019,冬羽雀（本来的样子）,resist,武
NO.019,冬羽雀（本来的样子）,resisted,龙
NO.019,冬羽雀（本来的样子）,resisted,电
NO.019,冬羽雀（本来的样子）,resisted,机械
NO.019,冬羽雀（本来的样子）,resisted,地
NO.020,岚鸟（本来的样子）,strong_against,草
NO.020,岚鸟（本来的样子）,strong_against,虫
NO.020,岚鸟（本来的样子）,strong_against,武
NO.020,岚鸟（本来的样子）,weak_against,冰
NO.020,岚鸟（本来的样子）,weak_against,电
NO.020,岚鸟（本来的样子）,resist,草
NO.020,岚鸟（本来的样子）,resist,虫
NO.020,岚鸟（本来的样子）,resist,武
NO.020,岚鸟（本来的样子）,resisted,龙
NO.020,岚鸟（本来的样子）,resisted,电
NO.020,岚鸟（本来的样子）,resisted,机械
NO.020,岚鸟（本来的样子）,resisted,地
NO.021,小灵菇,strong_against,光
NO.021,小灵菇,strong_against,幽
NO.021,小灵菇,strong_against,幻
NO.021,小灵菇,weak_against,光
NO.021,小灵菇,weak_against,幽
NO.021,小灵菇,weak_against,恶
NO.021,小灵菇,resist,普通
NO.021,小灵菇,resist,毒
NO.021,小灵菇,resist,虫
NO.021,小灵菇,resist,武
NO.021,小灵菇,resisted,普通
NO.021,小灵菇,resisted,恶
NO.022,幻灵菇,weak_against,幽
NO.022,幻灵菇,weak_against,恶
NO.022,幻灵菇,weak_against,火
NO.022,幻灵菇,weak_against,冰
NO.022,幻灵菇,weak_against,翼
NO.022,幻灵菇,resist,普通
NO.022,幻灵菇,resist,武
NO.022,幻灵菇,resist,水
NO.022,幻灵菇,resist,地
NO.022,幻灵菇,resist,电
NO.023,幻影灵菇,weak_against,幽
NO.023,幻影灵菇,weak_against,恶
NO.023,幻影灵菇,weak_against,火
NO.023,幻影灵菇,weak_against,冰
NO.023,幻影灵菇,weak_against,翼
NO.023,幻影灵菇,resist,普通
NO.023,幻影灵菇,resist,武
NO.023,幻影灵菇,resist,水
NO.023,幻影灵菇,resist,地
NO.023,幻影灵菇,resist,电
NO.024,石肤蜥（本来的样子）,strong_against,火
NO.024,石肤蜥（本来的样子）,strong_against,冰
NO.024,石肤蜥（本来的样子）,strong_against,电
NO.024,石肤蜥（本来的样子）,strong_against,毒
NO.024,石肤蜥（本来的样子）,weak_against,草
NO.024,石肤蜥（本来的样子）,weak_against,水
NO.024,石肤蜥（本来的样子）,weak_against,冰
NO.024,石肤蜥（本来的样子）,weak_against,武
NO.024,石肤蜥（本来的样子）,weak_against,机械
NO.024,石肤蜥（本来的样子）,resist,普通
NO.024,石肤蜥（本来的样子）,resist,火
NO.024,石肤蜥（本来的样子）,resist,翼
NO.024,石肤蜥（本来的样子）,resist,电
NO.024,石肤蜥（本来的样子）,resist,毒
NO.024,石肤蜥（本来的样子）,resisted,草
NO.024,石肤蜥（本来的样子）,resisted,武
NO.025,石刺蜥（本来的样子）,strong_against,火
NO.025,石刺蜥（本来的样子）,strong_against,冰
NO.025,石刺蜥（本来的样子）,strong_against,电
NO.025,石刺蜥（本来的样子）,strong_against,毒
NO.025,石刺蜥（本来的样子）,weak_against,草
NO.025,石刺蜥（本来的样子）,weak_against,水
NO.025,石刺蜥（本来的样子）,weak_against,冰
NO.025,石刺蜥（本来的样子）,weak_against,武
NO.025,石刺蜥（本来的样子）,weak_against,机械
NO.025,石刺蜥（本来的样子）,resist,普通
NO.025,石刺蜥（本来的样子）,resist,火
NO.025,石刺蜥（本来的样子）,resist,翼
NO.025,石刺蜥（本来的样子）,resist,电
NO.025,石刺蜥（本来的样子）,resist,毒
NO.025,石刺蜥（本来的样子）,resisted,草
NO.025,石刺蜥（本来的样子）,resisted,武
NO.026,石冠王蜥（本来的样子）,strong_against,火
NO.026,石冠王蜥（本来的样子）,strong_against,冰
NO.026,石冠王蜥（本来的样子）,strong_against,电
NO.026,石冠王蜥（本来的样子）,strong_against,毒
NO.026,石冠王蜥（本来的样子）,weak_against,草
NO.026,石冠王蜥（本来的样子）,weak_against,水
NO.026,石冠王蜥（本来的样子）,weak_against,冰
NO.026,石冠王蜥（本来的样子）,weak_against,武
NO.026,石冠王蜥（本来的样子）,weak_against,机械
NO.026,石冠王蜥（本来的样子）,resist,普通
NO.026,石冠王蜥（本来的样子）,resist,火
NO.026,石冠王蜥（本来的样子）,resist,翼
NO.026,石冠王蜥（本来的样子）,resist,电
NO.026,石冠王蜥（本来的样子）,resist,毒
NO.026,石冠王蜥（本来的样子）,resisted,草
NO.026,石冠王蜥（本来的样子）,resisted,武
NO.027,布是石,strong_against,火
NO.027,布是石,strong_against,冰
NO.027,布是石,strong_against,电
NO.027,布是石,strong_against,毒
NO.027,布是石,weak_against,草
NO.027,布是石,weak_against,水
NO.027,布是石,weak_against,冰
NO.027,布是石,weak_against,武
NO.027,布是石,weak_against,机械
NO.027,布是石,resist,普通
NO.027,布是石,resist,火
NO.027,布是石,resist,翼
NO.027,布是石,resist,电
NO.027,布是石,resist,毒
NO.027,布是石,resisted,草
NO.027,布是石,resisted,武
NO.028,布是岩,strong_against,火
NO.028,布是岩,strong_against,冰
NO.028,布是岩,strong_against,电
NO.028,布是岩,strong_against,毒
NO.028,布是岩,weak_against,草
NO.028,布是岩,weak_against,水
NO.028,布是岩,weak_against,冰
NO.028,布是岩,weak_against,武
NO.028,布是岩,weak_against,机械
NO.028,布是岩,resist,普通
NO.028,布是岩,resist,火
NO.028,布是岩,resist,翼
NO.028,布是岩,resist,电
NO.028,布是岩,resist,毒
NO.028,布是岩,resisted,草
NO.028,布是岩,resisted,武
NO.029,布克棱岩,strong_against,火
NO.029,布克棱岩,strong_against,冰
NO.029,布克棱岩,strong_against,电
NO.029,布克棱岩,strong_against,毒
NO.029,布克棱岩,weak_against,草
NO.029,布克棱岩,weak_against,水
NO.029,布克棱岩,weak_against,冰
NO.029,布克棱岩,weak_against,武
NO.029,布克棱岩,weak_against,机械
NO.029,布克棱岩,resist,普通
NO.029,布克棱岩,resist,火
NO.029,布克棱岩,resist,翼
NO.029,布克棱岩,resist,电
NO.029,布克棱岩,resist,毒
NO.029,布克棱岩,resisted,草
NO.029,布克棱岩,resisted,武
NO.030,恶魔叮,weak_against,光
NO.030,恶魔叮,weak_against,萌
NO.030,恶魔叮,weak_against,冰
NO.030,恶魔叮,weak_against,电
NO.030,恶魔叮,resist,幽
NO.030,恶魔叮,resist,龙
NO.030,恶魔叮,resist,草
NO.031,叮叮恶魔,weak_against,光
NO.031,叮叮恶魔,weak_against,萌
NO.031,叮叮恶魔,weak_against,冰
NO.031,叮叮恶魔,weak_against,电
NO.031,叮叮恶魔,resist,幽
NO.031,叮叮恶魔,resist,龙
NO.031,叮叮恶魔,resist,草
NO.032,毛毛,weak_against,火
NO.032,毛毛,weak_against,翼
NO.032,毛毛,weak_against,毒
NO.032,毛毛,weak_against,恶
NO.032,毛毛,weak_against,机械
NO.032,毛毛,resist,草
NO.032,毛毛,resist,武
NO.032,毛毛,resist,虫
NO.033,爬爬,weak_against,火
NO.033,爬爬,weak_against,翼
NO.033,爬爬,weak_against,毒
NO.033,爬爬,weak_against,恶
NO.033,爬爬,weak_against,机械
NO.033,爬爬,resist,草
NO.033,爬爬,resist,武
NO.033,爬爬,resist,虫
NO.034,化蝶（平常的样子）,weak_against,火
NO.034,化蝶（平常的样子）,weak_against,翼
NO.034,化蝶（平常的样子）,weak_against,毒
NO.034,化蝶（平常的样子）,weak_against,恶
NO.034,化蝶（平常的样子）,weak_against,机械
NO.034,化蝶（平常的样子）,resist,草
NO.034,化蝶（平常的样子）,resist,武
NO.034,化蝶（平常的样子）,resist,虫
NO.035,幽影树,weak_against,幽
NO.035,幽影树,weak_against,恶
NO.035,幽影树,weak_against,火
NO.035,幽影树,weak_against,冰
NO.035,幽影树,weak_against,翼
NO.035,幽影树,resist,普通
NO.035,幽影树,resist,武
NO.035,幽影树,resist,水
NO.035,幽影树,resist,地
NO.035,幽影树,resist,电
NO.036,小鼠獭,weak_against,武
NO.036,小鼠獭,weak_against,草
NO.036,小鼠獭,weak_against,电
NO.036,小鼠獭,resist,幽
NO.036,小鼠獭,resist,火
NO.036,小鼠獭,resist,机械
NO.037,燕尾獭,weak_against,武
NO.037,燕尾獭,weak_against,草
NO.037,燕尾獭,weak_against,电
NO.037,燕尾獭,resist,幽
NO.037,燕尾獭,resist,火
NO.037,燕尾獭,resist,机械
NO.038,卷胡巨獭,weak_against,武
NO.038,卷胡巨獭,weak_against,草
NO.038,卷胡巨獭,weak_against,电
NO.038,卷胡巨獭,resist,幽
NO.038,卷胡巨獭,resist,火
NO.038,卷胡巨獭,resist,机械
NO.039,矿晶虫,weak_against,幽
NO.039,矿晶虫,weak_against,草
NO.039,矿晶虫,weak_against,水
NO.039,矿晶虫,weak_against,冰
NO.039,矿晶虫,weak_against,武
NO.039,矿晶虫,weak_against,机械
NO.039,矿晶虫,resist,恶
NO.039,矿晶虫,resist,幻
NO.039,矿晶虫,resist,普通
NO.039,矿晶虫,resist,火
NO.039,矿晶虫,resist,翼
NO.039,矿晶虫,resist,电
NO.039,矿晶虫,resist,毒
NO.040,晶石蜗（西瓜碧玺的样子）,weak_against,幽
NO.040,晶石蜗（西瓜碧玺的样子）,weak_against,草
NO.040,晶石蜗（西瓜碧玺的样子）,weak_against,水
NO.040,晶石蜗（西瓜碧玺的样子）,weak_against,冰
NO.040,晶石蜗（西瓜碧玺的样子）,weak_against,武
NO.040,晶石蜗（西瓜碧玺的样子）,weak_against,机械
NO.040,晶石蜗（西瓜碧玺的样子）,resist,恶
NO.040,晶石蜗（西瓜碧玺的样子）,resist,幻
NO.040,晶石蜗（西瓜碧玺的样子）,resist,普通
NO.040,晶石蜗（西瓜碧玺的样子）,resist,火
NO.040,晶石蜗（西瓜碧玺的样子）,resist,翼
NO.040,晶石蜗（西瓜碧玺的样子）,resist,电
NO.040,晶石蜗（西瓜碧玺的样子）,resist,毒
NO.041,奇丽草,strong_against,水
NO.041,奇丽草,strong_against,地
NO.041,奇丽草,strong_against,光
NO.041,奇丽草,weak_against,火
NO.041,奇丽草,weak_against,冰
NO.041,奇丽草,weak_against,毒
NO.041,奇丽草,weak_against,虫
NO.041,奇丽草,weak_against,翼
NO.041,奇丽草,resist,水
NO.041,奇丽草,resist,地
NO.041,奇丽草,resist,电
NO.041,奇丽草,resist,光
NO.041,奇丽草,resisted,火
NO.041,奇丽草,resisted,龙
NO.041,奇丽草,resisted,毒
NO.041,奇丽草,resisted,虫
NO.041,奇丽草,resisted,翼
NO.041,奇丽草,resisted,机械
NO.042,奇丽叶,strong_against,水
NO.042,奇丽叶,strong_against,地
NO.042,奇丽叶,strong_against,光
NO.042,奇丽叶,weak_against,火
NO.042,奇丽叶,weak_against,冰
NO.042,奇丽叶,weak_against,毒
NO.042,奇丽叶,weak_against,虫
NO.042,奇丽叶,weak_against,翼
NO.042,奇丽叶,resist,水
NO.042,奇丽叶,resist,地
NO.042,奇丽叶,resist,电
NO.042,奇丽叶,resist,光
NO.042,奇丽叶,resisted,火
NO.042,奇丽叶,resisted,龙
NO.042,奇丽叶,resisted,毒
NO.042,奇丽叶,resisted,虫
NO.042,奇丽叶,resisted,翼
NO.042,奇丽叶,resisted,机械
NO.043,奇丽花,strong_against,水
NO.043,奇丽花,strong_against,地
NO.043,奇丽花,strong_against,光
NO.043,奇丽花,weak_against,火
NO.043,奇丽花,weak_against,冰
NO.043,奇丽花,weak_against,毒
NO.043,奇丽花,weak_against,虫
NO.043,奇丽花,weak_against,翼
NO.043,奇丽花,resist,水
NO.043,奇丽花,resist,地
NO.043,奇丽花,resist,电
NO.043,奇丽花,resist,光
NO.043,奇丽花,resisted,火
NO.043,奇丽花,resisted,龙
NO.043,奇丽花,resisted,毒
NO.043,奇丽花,resisted,虫
NO.043,奇丽花,resisted,翼
NO.043,奇丽花,resisted,机械
NO.044,丢丢（草地附近的样子）,strong_against,水
NO.044,丢丢（草地附近的样子）,strong_against,地
NO.044,丢丢（草地附近的样子）,strong_against,光
NO.044,丢丢（草地附近的样子）,weak_against,火
NO.044,丢丢（草地附近的样子）,weak_against,冰
NO.044,丢丢（草地附近的样子）,weak_against,毒
NO.044,丢丢（草地附近的样子）,weak_against,虫
NO.044,丢丢（草地附近的样子）,weak_against,翼
NO.044,丢丢（草地附近的样子）,resist,水
NO.044,丢丢（草地附近的样子）,resist,地
NO.044,丢丢（草地附近的样子）,resist,电
NO.044,丢丢（草地附近的样子）,resist,光
NO.044,丢丢（草地附近的样子）,resisted,火
NO.044,丢丢（草地附近的样子）,resisted,龙
NO.044,丢丢（草地附近的样子）,resisted,毒
NO.044,丢丢（草地附近的样子）,resisted,虫
NO.044,丢丢（草地附近的样子）,resisted,翼
NO.044,丢丢（草地附近的样子）,resisted,机械
NO.045,卡卡虫（草地附近的样子）,strong_against,水
NO.045,卡卡虫（草地附近的样子）,strong_against,地
NO.045,卡卡虫（草地附近的样子）,strong_against,光
NO.045,卡卡虫（草地附近的样子）,weak_against,火
NO.045,卡卡虫（草地附近的样子）,weak_against,冰
NO.045,卡卡虫（草地附近的样子）,weak_against,毒
NO.045,卡卡虫（草地附近的样子）,weak_against,虫
NO.045,卡卡虫（草地附近的样子）,weak_against,翼
NO.045,卡卡虫（草地附近的样子）,resist,水
NO.045,卡卡虫（草地附近的样子）,resist,地
NO.045,卡卡虫（草地附近的样子）,resist,电
NO.045,卡卡虫（草地附近的样子）,resist,光
NO.045,卡卡虫（草地附近的样子）,resisted,火
NO.045,卡卡虫（草地附近的样子）,resisted,龙
NO.045,卡卡虫（草地附近的样子）,resisted,毒
NO.045,卡卡虫（草地附近的样子）,resisted,虫
NO.045,卡卡虫（草地附近的样子）,resisted,翼
NO.045,卡卡虫（草地附近的样子）,resisted,机械
NO.046,卡瓦重（草地附近的样子）,strong_against,水
NO.046,卡瓦重（草地附近的样子）,strong_against,地
NO.046,卡瓦重（草地附近的样子）,strong_against,光
NO.046,卡瓦重（草地附近的样子）,weak_against,火
NO.046,卡瓦重（草地附近的样子）,weak_against,冰
NO.046,卡瓦重（草地附近的样子）,weak_against,毒
NO.046,卡瓦重（草地附近的样子）,weak_against,虫
NO.046,卡瓦重（草地附近的样子）,weak_against,翼
NO.046,卡瓦重（草地附近的样子）,resist,水
NO.046,卡瓦重（草地附近的样子）,resist,地
NO.046,卡瓦重（草地附近的样子）,resist,电
NO.046,卡瓦重（草地附近的样子）,resist,光
NO.046,卡瓦重（草地附近的样子）,resisted,火
NO.046,卡瓦重（草地附近的样子）,resisted,龙
NO.046,卡瓦重（草地附近的样子）,resisted,毒
NO.046,卡瓦重（草地附近的样子）,resisted,虫
NO.046,卡瓦重（草地附近的样子）,resisted,翼
NO.046,卡瓦重（草地附近的样子）,resisted,机械
NO.047,护主犬,strong_against,草
NO.047,护主犬,strong_against,冰
NO.047,护主犬,strong_against,虫
NO.047,护主犬,strong_against,机械
NO.047,护主犬,weak_against,水
NO.047,护主犬,weak_against,地
NO.047,护主犬,resist,草
NO.047,护主犬,resist,冰
NO.047,护主犬,resist,虫
NO.047,护主犬,resist,机械
NO.047,护主犬,resist,萌
NO.047,护主犬,resisted,水
NO.047,护主犬,resisted,地
NO.047,护主犬,resisted,龙
NO.048,音速犬,strong_against,草
NO.048,音速犬,strong_against,冰
NO.048,音速犬,strong_against,虫
NO.048,音速犬,strong_against,机械
NO.048,音速犬,weak_against,水
NO.048,音速犬,weak_against,地
NO.048,音速犬,resist,草
NO.048,音速犬,resist,冰
NO.048,音速犬,resist,虫
NO.048,音速犬,resist,机械
NO.048,音速犬,resist,萌
NO.048,音速犬,resisted,水
NO.048,音速犬,resisted,地
NO.048,音速犬,resisted,龙
NO.049,绿耳松鼠,weak_against,武
NO.049,绿耳松鼠,resist,幽
NO.049,绿耳松鼠,resisted,幽
NO.049,绿耳松鼠,resisted,机械
NO.049,绿耳松鼠,resisted,地
NO.050,抱枕松鼠,weak_against,武
NO.050,抱枕松鼠,resist,幽
NO.050,抱枕松鼠,resisted,幽
NO.050,抱枕松鼠,resisted,机械
NO.050,抱枕松鼠,resisted,地
NO.051,蹦床松鼠,weak_against,武
NO.051,蹦床松鼠,resist,幽
NO.051,蹦床松鼠,resisted,幽
NO.051,蹦床松鼠,resisted,机械
NO.051,蹦床松鼠,resisted,地
NO.052,嘟嘟煲,strong_against,草
NO.052,嘟嘟煲,strong_against,萌
NO.052,嘟嘟煲,weak_against,地
NO.052,嘟嘟煲,weak_against,恶
NO.052,嘟嘟煲,weak_against,幻
NO.052,嘟嘟煲,resist,草
NO.052,嘟嘟煲,resist,毒
NO.052,嘟嘟煲,resist,虫
NO.052,嘟嘟煲,resist,武
NO.052,嘟嘟煲,resist,萌
NO.052,嘟嘟煲,resisted,普通
NO.052,嘟嘟煲,resisted,恶
NO.053,嘟嘟锅,strong_against,草
NO.053,嘟嘟锅,strong_against,萌
NO.053,嘟嘟锅,weak_against,地
NO.053,嘟嘟锅,weak_against,恶
NO.053,嘟嘟锅,weak_against,幻
NO.053,嘟嘟锅,resist,草
NO.053,嘟嘟锅,resist,毒
NO.053,嘟嘟锅,resist,虫
NO.053,嘟嘟锅,resist,武
NO.053,嘟嘟锅,resist,萌
NO.053,嘟嘟锅,resisted,普通
NO.053,嘟嘟锅,resisted,恶
NO.054,小灵面,strong_against,光
NO.054,小灵面,strong_against,幽
NO.054,小灵面,strong_against,幻
NO.054,小灵面,weak_against,光
NO.054,小灵面,weak_against,幽
NO.054,小灵面,weak_against,恶
NO.054,小灵面,resist,普通
NO.054,小灵面,resist,毒
NO.054,小灵面,resist,虫
NO.054,小灵面,resist,武
NO.054,小灵面,resisted,普通
NO.054,小灵面,resisted,恶
NO.055,暗影灵面（睁眼的样子）,strong_against,光
NO.055,暗影灵面（睁眼的样子）,strong_against,幽
NO.055,暗影灵面（睁眼的样子）,strong_against,幻
NO.055,暗影灵面（睁眼的样子）,weak_against,光
NO.055,暗影灵面（睁眼的样子）,weak_against,幽
NO.055,暗影灵面（睁眼的样子）,weak_against,恶
NO.055,暗影灵面（睁眼的样子）,resist,普通
NO.055,暗影灵面（睁眼的样子）,resist,毒
NO.055,暗影灵面（睁眼的样子）,resist,虫
